year,month,north_co2_anomaly,norm_north_co2,south_co2_anomaly,norm_south_co2,msl_mm_north,msl_mm_south,norm_msl_north,norm_msl_south,north_land_ocean_anomaly,south_land_ocean_anomaly,north_land_anomaly,south_land_anomaly,norm_north_land_ocean,norm_south_land_ocean,norm_north_land,norm_south_land
1998,10,0.1140535343960245,0.1925938454836555,0.2113182199749972,0.2592183791288171,21.137432112187,5.4344059755436245,0.20470568768004385,0.0979552982320249,0.51,0.38,0.61,0.38,0.2863849765258216,0.27272727272727265,0.27808988764044945,0.34984520123839014
1998,11,1.1798607202605371,0.2731747729828387,0.1923787284831606,0.2521393023274536,23.395716161219674,5.218594991614825,0.22616465866899435,0.09596265701415316,0.48,0.41,0.56,0.32,0.27230046948356806,0.3030303030303029,0.26404494382022475,0.3312693498452013
1998,12,2.402448104304808,0.3656091519790516,0.1946875535523262,0.2530022795616936,25.65036447332394,6.972160559585239,0.24758908166859714,0.11215380245710868,0.78,0.38,1.35,0.25,0.4131455399061033,0.27272727272727265,0.4859550561797753,0.30959752321981426
1999,1,2.7071154771067736,0.3886436931275129,0.239403434307603,0.2697158832106436,24.25581072095257,7.700530906225725,0.23433756509011897,0.11887904298087278,0.56,0.38,0.87,0.39,0.3098591549295775,0.27272727272727265,0.351123595505618,0.35294117647058826
1999,2,1.5932215354484054,0.3044271405043045,0.1351535666527712,0.2307500630365047,22.19985402559313,8.048953139460176,0.2148011763443565,0.12209611975114017,0.96,0.34,1.8,0.33,0.49765258215962443,0.23232323232323232,0.6123595505617978,0.3343653250773994
1999,3,1.3845449133980292,0.2886500318722433,0.2204958864013204,0.2626487460696213,23.78648854332928,7.18162680501394,0.22987790865389554,0.11408786098738151,0.31,0.42,0.29,0.3,0.19248826291079812,0.31313131313131304,0.18820224719101125,0.325077399380805
1999,4,-0.1610133240568476,0.1717972671978373,0.2631667446726364,0.2785979748550374,23.862705155281077,7.65241584699335,0.23060214441398527,0.11843478361797398,0.54,0.18,0.86,-0.73,0.3004694835680751,0.0707070707070707,0.34831460674157305,0.006191950464396301
1999,5,-0.8637252460741358,0.1186683530828924,0.3436826432285649,0.3086926703675272,20.70785986684875,9.858042951983826,0.20062374840658515,0.13879993557015252,0.41,0.23,0.57,-0.16,0.23943661971830987,0.1212121212121212,0.2668539325842697,0.1826625386996904
1999,6,-1.337494189627792,0.0828487964143048,0.3858713275003209,0.3244616753715404,19.3882298713524,9.9131331445706,0.1880841824464771,0.13930859822693883,0.41,0.41,0.59,0.62,0.23943661971830987,0.3030303030303029,0.2724719101123596,0.4241486068111455
1999,7,-1.3987918155876269,0.0782143563215267,0.4104094678168053,0.3336333777869881,18.696225644979823,13.196323709297449,0.18150852664076872,0.16962318521552677,0.44,0.32,0.68,0.3,0.2535211267605634,0.2121212121212121,0.2977528089887641,0.325077399380805
